,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus,First Round Exit
142,142,142,139.0,Daniel Theis,LAC,32,1,0,1,4.4,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.0,Yes
143,143,143,139.0,Jalen Smith,IND,24,3,2,1,9.0,3.0,0.7,1.7,40.0,0.3,0.7,50.0,1.3,1.3,100.0,2.0,1.7,3.7,0.3,0.7,0.3,0.3,1.0,9.2,0.0,0.0,-9.0,No
144,144,144,139.0,Luka Garza,MIN,25,5,4,1,3.0,3.0,1.0,1.2,83.3,0.2,0.2,100.0,0.8,0.8,100.0,0.2,0.4,0.6,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,No
145,145,145,139.0,Shake Milton,NYK,27,1,0,1,14.5,3.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,2.0,No
146,146,146,139.0,Spencer Dinwiddie,LAL,31,5,1,4,14.6,3.0,1.0,2.8,35.7,0.4,1.6,25.0,0.6,1.2,50.0,0.2,1.2,1.4,1.6,0.2,0.4,0.2,1.4,8.7,0.0,0.0,-3.8,Yes
147,147,147,146.0,AJ Green,MIL,24,6,2,4,11.2,2.8,1.0,2.7,37.5,0.3,1.8,18.2,0.5,0.5,100.0,0.0,1.5,1.5,0.3,0.2,0.0,0.0,1.5,5.0,0.0,0.0,-0.3,Yes
148,148,148,146.0,Amir Coffey,LAC,26,6,2,4,18.7,2.8,1.2,3.7,31.8,0.5,1.8,27.3,0.0,0.0,0.0,0.3,1.3,1.7,0.3,0.8,0.3,0.2,1.0,6.0,0.0,0.0,-6.2,Yes
149,149,149,146.0,Mitchell Robinson,NYK,26,6,4,2,19.1,2.8,1.2,2.3,50.0,0.0,0.0,0.0,0.5,1.3,37.5,3.8,3.0,6.8,0.5,0.5,1.0,1.2,2.5,17.8,0.0,0.0,5.0,No
150,150,150,149.0,Kyle Anderson,MIN,30,7,5,2,12.6,2.7,1.3,3.0,42.9,0.0,0.1,0.0,0.1,0.3,50.0,1.4,1.6,3.0,2.0,0.6,0.6,0.1,1.6,10.9,0.0,0.0,-5.0,No
151,151,151,150.0,Sam Merrill,CLE,27,9,4,5,10.8,2.7,0.8,2.7,29.2,0.8,2.4,31.8,0.3,0.3,100.0,0.2,0.9,1.1,1.0,0.0,0.0,0.0,0.8,5.5,0.0,0.0,-1.7,No
152,152,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
153,153,153,151.0,Duncan Robinson,MIA,30,5,1,4,11.9,2.6,1.0,3.2,31.3,0.6,2.6,23.1,0.0,0.0,0.0,0.0,1.0,1.0,1.2,1.0,0.4,0.0,1.2,5.8,0.0,0.0,-9.2,Yes
154,154,154,152.0,Jett Howard,ORL,20,2,2,0,4.9,2.5,1.0,1.5,66.7,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,2.9,0.0,0.0,-4.0,Yes
155,155,155,152.0,Julian Strawther,DEN,22,2,1,1,3.6,2.5,0.5,1.5,33.3,0.5,1.5,33.3,1.0,1.0,100.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,3.1,0.0,0.0,-1.5,No
156,156,156,154.0,Andre Jackson Jr.,MIL,22,5,1,4,11.9,2.4,1.0,2.2,45.5,0.4,1.2,33.3,0.0,0.0,0.0,1.0,1.2,2.2,2.0,0.6,1.0,0.2,2.0,11.0,0.0,0.0,2.2,Yes
157,157,157,155.0,Jae Crowder,MIL,33,4,1,3,10.5,2.3,0.8,3.0,25.0,0.3,1.8,14.3,0.5,0.5,100.0,0.5,1.0,1.5,0.5,0.0,0.0,0.5,1.0,6.3,0.0,0.0,-6.3,Yes
158,158,158,156.0,Jaden Hardy,DAL,21,7,4,3,2.7,2.1,0.7,2.1,33.3,0.3,1.0,28.6,0.4,0.6,75.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.1,3.0,0.0,0.0,-0.9,No
159,159,159,157.0,Peyton Watson,DEN,21,8,5,3,10.0,2.1,0.8,2.9,26.1,0.4,1.5,25.0,0.3,0.5,50.0,0.3,1.1,1.4,0.4,0.4,0.0,0.8,1.1,6.2,0.0,0.0,-2.1,No
160,160,160,158.0,Jeremiah Robinson-Earl,NOP,23,1,0,1,5.3,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,-1.0,Yes
161,161,161,158.0,Jericho Sims,NYK,25,2,0,2,10.0,2.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,1.0,100.0,1.5,1.5,3.0,0.0,0.0,1.0,0.0,0.5,8.6,0.0,0.0,-0.5,No
162,162,162,158.0,Josh Minott,MIN,21,3,2,1,3.2,2.0,0.7,1.3,50.0,0.7,1.0,66.7,0.0,0.0,0.0,0.3,0.3,0.7,0.7,0.0,0.0,0.0,0.0,3.8,0.0,0.0,3.3,No
163,163,163,158.0,Mamadi Diakite,NYK,27,1,0,1,9.3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.2,0.0,0.0,8.0,No
164,164,164,158.0,Monte Morris,MIN,28,6,5,1,7.7,2.0,0.8,3.3,25.0,0.0,1.7,0.0,0.3,0.3,100.0,0.0,0.7,0.7,0.7,0.0,0.2,0.2,1.0,4.8,0.0,0.0,0.0,No
165,165,165,163.0,Dante Exum,DAL,28,10,6,4,7.9,1.9,0.7,2.9,24.1,0.2,1.1,18.2,0.3,0.4,75.0,0.2,0.7,0.9,0.8,0.2,0.1,0.1,0.6,4.6,0.0,0.0,-2.4,No
166,166,166,164.0,Kevin Love,MIA,35,5,1,4,6.4,1.8,0.8,1.8,44.4,0.2,0.8,25.0,0.0,0.0,0.0,0.2,2.6,2.8,0.8,0.4,0.0,0.0,0.4,6.0,0.0,0.0,-6.8,Yes
167,167,167,165.0,Jose Alvarado,NOP,26,4,0,4,15.4,1.8,0.8,5.0,15.0,0.3,3.5,7.1,0.0,0.0,0.0,0.0,1.0,1.0,2.3,1.0,1.3,0.3,0.8,9.8,0.0,0.0,-5.3,Yes
168,168,168,165.0,Nassir Little,PHX,24,4,0,4,3.4,1.8,0.8,1.3,60.0,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,2.1,0.0,0.0,-1.5,Yes
169,169,169,167.0,Brandon Boston Jr.,LAC,22,3,0,3,3.2,1.7,0.7,1.3,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.7,3.0,0.0,0.0,1.7,Yes
170,170,170,167.0,Tristan Thompson,CLE,33,9,3,6,9.2,1.7,0.8,1.8,43.8,0.0,0.0,0.0,0.1,0.2,50.0,1.0,0.9,1.9,1.1,0.1,0.1,0.6,0.9,7.5,0.0,0.0,-3.6,No
171,171,171,169.0,Joe Ingles,ORL,36,7,3,4,9.6,1.6,0.6,1.7,33.3,0.3,1.0,28.6,0.1,0.3,50.0,0.3,1.6,1.9,1.7,0.0,0.4,0.0,0.4,7.7,0.0,0.0,2.1,Yes
172,172,172,170.0,Paul Reed,PHI,24,6,2,4,7.2,1.5,0.7,1.5,44.4,0.0,0.0,0.0,0.2,0.3,50.0,1.5,1.2,2.7,0.3,0.5,0.2,0.5,1.2,6.7,0.0,0.0,-7.3,Yes
173,173,173,170.0,Zeke Nnaji,DEN,23,2,1,1,4.3,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,3.7,0.0,0.0,-3.5,No
174,174,174,172.0,Gabe Vincent,LAL,27,5,1,4,13.8,1.4,0.6,2.4,25.0,0.2,1.4,14.3,0.0,0.0,0.0,0.2,1.4,1.6,0.6,0.6,0.4,0.0,1.6,4.8,0.0,0.0,-1.8,Yes
175,175,175,172.0,Oshae Brissett,BOS,25,5,4,1,3.1,1.4,0.6,1.2,50.0,0.2,0.2,100.0,0.0,0.4,0.0,0.4,1.0,1.4,0.0,0.2,0.0,0.0,0.0,2.9,0.0,0.0,0.2,No
176,176,176,174.0,A.J. Lawson,DAL,23,6,4,2,2.6,1.3,0.5,1.0,50.0,0.3,0.8,40.0,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.2,1.9,0.0,0.0,-1.7,No
177,177,177,174.0,Dyson Daniels,NOP,21,3,0,3,5.7,1.3,0.7,2.0,33.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.7,0.0,0.0,3.8,0.0,0.0,-4.3,Yes
178,178,178,174.0,Jaden Springer,BOS,21,3,2,1,4.7,1.3,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.0,0.3,0.3,2.6,0.0,0.0,1.0,No
179,179,179,174.0,Xavier Tillman,BOS,25,3,2,1,8.5,1.3,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.7,0.0,0.7,0.3,1.0,7.7,0.0,0.0,4.3,No
180,180,180,178.0,Doug McDermott,IND,32,5,3,2,5.7,1.2,0.4,1.2,33.3,0.4,1.2,33.3,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.4,1.5,0.0,0.0,-4.6,No
181,181,181,179.0,Caleb Houstan,ORL,21,3,2,1,4.7,1.0,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-4.3,Yes
182,182,182,179.0,Chris Livingston,MIL,20,2,0,2,3.1,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Yes
183,183,183,179.0,Jalen Pickett,DEN,24,2,1,1,2.7,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,-2.0,No
184,184,184,179.0,Jarace Walker,IND,20,5,4,1,4.0,1.0,0.4,0.8,50.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.4,0.4,0.8,0.8,0.2,0.2,0.2,3.1,0.0,0.0,-1.8,No
185,185,185,179.0,Jordan Walsh,BOS,20,2,1,1,3.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-0.5,No
186,186,186,179.0,Neemias Queta,BOS,24,2,1,1,4.0,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,2.0,No
187,187,187,185.0,MarJon Beauchamp,MIL,23,4,1,3,2.4,0.8,0.3,1.0,25.0,0.0,0.5,0.0,0.3,0.5,50.0,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,1.6,0.0,0.0,0.8,Yes
188,188,188,186.0,Bol Bol,PHX,24,3,0,3,4.3,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.3,0.0,0.7,3.3,0.0,0.0,0.3,Yes
189,189,189,186.0,Kendall Brown,IND,21,3,3,0,4.7,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.3,0.3,1.8,0.0,0.0,-2.7,No
190,190,190,186.0,Ousmane Dieng,OKC,20,3,2,1,2.3,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,No
191,191,191,189.0,Hunter Tyson,DEN,23,2,1,1,3.3,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,50.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.9,0.0,0.0,-1.5,No
192,192,192,189.0,Jordan McLaughlin,MIN,28,4,3,1,4.2,0.5,0.3,1.3,20.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,1.3,0.0,0.0,3.0,No
193,193,193,189.0,Wendell Moore Jr.,MIN,22,4,4,0,2.1,0.5,0.3,0.5,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.3,No
194,194,194,192.0,Dwight Powell,DAL,32,6,4,2,2.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.5,0.8,0.2,0.0,0.0,0.0,0.5,1.6,0.0,0.0,-1.8,No
195,195,195,192.0,Kenrich Williams,OKC,29,6,6,0,4.7,0.3,0.2,1.2,14.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.5,0.0,0.2,0.0,0.5,3.0,0.0,0.0,-1.5,No
196,196,196,194.0,Jaxson Hayes,LAL,23,4,1,3,6.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.8,2.3,3.0,0.3,0.5,0.0,0.0,1.8,3.7,0.0,0.0,1.8,Yes
197,197,197,195.0,Damian Jones,CLE,28,2,1,1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.0,3.2,0.0,0.0,-1.5,No
198,198,198,195.0,David Roddy,PHX,23,2,0,2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,Yes
199,199,199,195.0,De'Anthony Melton,PHI,25,1,0,1,7.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.7,0.0,0.0,-1.0,Yes
200,200,200,195.0,E.J. Liddell,NOP,23,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,Yes
201,201,201,195.0,Goga Bitadze,ORL,24,2,2,0,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.5,0.0,0.0,0.0,2.8,0.0,0.0,-4.0,Yes
202,202,202,195.0,Gordon Hayward,OKC,34,7,5,2,6.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7,1.9,0.4,0.0,0.1,0.1,0.3,3.7,0.0,0.0,2.3,No
203,203,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
204,204,204,195.0,Isaiah Thomas,PHX,35,1,0,1,3.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.0,Yes
205,205,205,195.0,Jordan Hawkins,NOP,22,3,0,3,3.8,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.3,Yes
206,206,206,195.0,Kobe Brown,LAC,24,3,0,3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,1.0,Yes
207,207,207,195.0,Leonard Miller,MIN,20,2,2,0,1.9,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.5,No
208,208,208,195.0,Lindy Waters III,OKC,26,3,3,0,2.8,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.3,No
209,209,209,195.0,Matt Ryan,NOP,27,1,0,1,2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.2,0.0,0.0,2.0,Yes
210,210,210,195.0,Olivier-Maxence Prosper,DAL,21,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,No
211,211,211,195.0,Orlando Robinson,MIA,23,1,0,1,2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,3.0,Yes
212,212,212,195.0,Svi Mykhailiuk,BOS,26,4,3,1,4.3,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.5,0.3,0.0,0.5,1.5,0.0,0.0,0.0,No
213,213,213,195.0,T.J. Warren,MIN,30,3,2,1,3.8,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.3,1.0,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.0,2.3,No
214,214,214,195.0,Thaddeus Young,PHX,35,1,0,1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,Yes
215,215,215,195.0,Thanasis Antetokounmpo,MIL,31,2,0,2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,1.0,Yes
